                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                  1.281,                0.67398,                 1.3425,                0.21076,                 0.5288,                0.21991,                0.09959,                 2.0765,                 3.0696,                 2.0117,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.2711,                0.68946,                 1.3271,                0.25714,                0.51186,                0.26229,                0.10959,                 2.1443,                 2.9399,                 2.0967,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.2808,                0.65367,                  1.368,                0.25982,                0.87182,                0.29603,                0.11699,                 2.2639,                 2.8085,                 2.1906,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.3086,                0.65838,                 1.3452,                0.25468,                0.87258,                 0.2847,                0.12898,                 1.9784,                 2.9362,                 1.9243,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.3035,                0.67201,                 1.3384,                0.24641,                0.87907,                0.27625,                0.11498,                 2.1457,                 2.9086,                 2.0915,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.2788,                 0.6449,                 1.3034,                0.29986,                0.76689,                 0.2953,                0.11386,                 2.2639,                 2.8603,                 2.1747,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.2725,                0.65318,                 1.3354,                0.21674,                0.82185,                0.24326,                0.10685,                 2.1448,                 3.2223,                 2.0925,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.2228,                0.62753,                 1.3165,                0.24783,                0.88858,                0.27099,                0.11164,                 2.1773,                 3.1116,                 2.1227,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.2658,                 0.6491,                 1.3414,                0.22137,                0.92255,                0.27329,                0.12006,                 2.0524,                 2.8082,                 2.0102,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.2029,                0.62476,                 1.3208,                0.25746,                0.85234,                0.27404,                0.11114,                 2.2288,                 3.1019,                  2.148,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.2263,                0.62457,                 1.2906,                0.26042,                0.88858,                0.27873,                0.11375,                 2.1843,                 3.0723,                 2.1136,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.1892,                0.62078,                 1.2735,                0.25763,                0.86185,                0.27468,                 0.1093,                 2.1799,                 3.0673,                  2.105,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.2243,                0.62038,                 1.3233,                0.23857,                0.87559,                0.27788,                0.11196,                  2.148,                  2.887,                 2.0635,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.2607,                0.63011,                 1.3271,                0.24999,                0.93779,                0.28998,                 0.1305,                  1.992,                 2.7451,                 1.9945,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.1827,                0.61154,                 1.3881,                0.23634,                0.85808,                0.27027,                0.11378,                 2.1495,                 2.9253,                 2.1206,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.1768,                0.55607,                 1.3466,                0.24544,                0.91031,                0.27283,                0.11995,                 2.0535,                 2.9328,                 2.0107,              0.0001652,              0.0001652,              0.0001652
                     93,                  1.155,                0.55292,                 1.3662,                0.24247,                0.85385,                0.26482,                 0.1138,                 2.1177,                 3.0454,                 2.0509,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.1572,                0.55634,                 1.3473,                0.23682,                 0.8386,                0.26163,                0.11245,                 2.1197,                 3.0328,                  2.089,             0.00013219,             0.00013219,             0.00013219
                     95,                  1.133,                0.54741,                 1.3181,                0.24505,                0.84736,                0.25625,                0.11212,                 2.1462,                 3.3338,                 2.1035,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.1236,                 0.5428,                 1.2982,                0.23307,                0.79738,                0.23568,                0.09608,                 2.2376,                 3.2781,                 2.1783,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.1365,                0.54253,                 1.3591,                0.27286,                0.83211,                0.27191,                0.11192,                  2.176,                 3.2093,                 2.1148,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 1.1267,                0.53607,                  1.324,                0.27931,                0.84736,                0.27864,                0.11082,                 2.2482,                 3.1524,                 2.1831,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.1101,                0.52947,                 1.3149,                0.27944,                0.85385,                0.27796,                0.10857,                  2.268,                 3.1733,                 2.2088,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 1.1083,                0.52063,                 1.3029,                0.28059,                 0.8466,                0.28499,                0.11543,                  2.205,                 3.1685,                 2.1449,             3.3173e-05,             3.3173e-05,             3.3173e-05
